bodyId,out_degree,in_degree,total_output_weight,total_input_weight,predictedNt,type
13058,965,864,8529,3476,acetylcholine,FB1G
13068,2172,808,4426,3882,dopamine,PPM1201
13094,201,213,2445,2503,gaba,ER4d
13101,589,765,6517,5677,acetylcholine,FB5AB
13131,792,471,1762,2229,serotonin,CL344_a
13142,734,852,6079,5827,gaba,FB5A
13217,278,372,2393,4435,acetylcholine,EPG
13302,856,985,5603,7175,acetylcholine,CL109
13316,461,360,2727,1588,glutamate,FB5L
13335,242,269,1145,1055,acetylcholine,AVLP700m
13365,346,542,1899,2840,acetylcholine,SIP110m_a
13392,187,344,1809,3416,acetylcholine,hDeltaH
13395,194,205,4357,2370,gaba,ER4m
13398,821,479,1960,2166,serotonin,CL344_a
13411,191,182,1230,1049,glutamate,FB8B
13417,224,133,2646,2002,acetylcholine,hDeltaB
13418,513,308,4773,2998,glutamate,FB6D
13434,215,212,4930,2974,gaba,ER4m
13490,169,391,1293,3195,acetylcholine,PFL2
13559,832,1128,3255,6036,unclear,FB4Y
13646,201,350,1045,1203,acetylcholine,CL062_a1
13650,418,377,2074,1303,glutamate,FB4F_c
13732,169,321,939,3013,acetylcholine,hDeltaI
13751,223,423,1742,2618,acetylcholine,IB023
13862,299,216,1133,1278,glutamate,FB2I_a
13873,444,443,2106,2182,acetylcholine,DNa14
13877,480,602,3952,6366,acetylcholine,LAL159
13892,225,221,1173,1127,acetylcholine,PFR_b
13893,331,259,906,730,unclear,FB3C
13902,354,246,1509,1193,glutamate,FB2I_a
13913,334,381,2024,2139,glutamate,SMP028
13914,31,152,202,841,serotonin,hDeltaK
13920,346,353,1360,1695,glutamate,VES202m
13924,657,643,7498,6011,acetylcholine,AVLP520
13930,399,441,2757,2956,gaba,LAL102
13945,364,483,1722,1636,acetylcholine,PVLP203m
13985,213,207,4840,2393,gaba,ER4m
13999,127,124,1400,1146,gaba,ER3w_c
14016,848,673,4633,2202,acetylcholine,AN08B020
14120,448,441,3080,3078,glutamate,FB2D
14150,397,461,1927,1471,acetylcholine,PVLP203m
14182,2457,2796,14362,15380,dopamine,PPL103
14222,428,296,2946,1323,glutamate,FB7A
14268,453,634,2720,3997,acetylcholine,CL199
14284,101,56,1882,1230,gaba,ER5
14308,201,208,4933,2358,gaba,ER4m
14420,421,494,4040,4102,glutamate,FB4X
14434,890,1029,3449,5584,serotonin,FB4Y
14464,180,138,2677,3008,gaba,ER6
14482,218,213,4554,2397,gaba,ER4m
14507,263,314,1953,3011,acetylcholine,EPG
14509,199,119,2481,1310,glutamate,Delta7
14527,638,511,3712,2102,acetylcholine,AN05B103
14540,488,506,2211,3691,unclear,FB6H
14552,351,380,1932,4715,octopamine,EL
14631,188,130,508,446,acetylcholine,PFNp_c
14663,141,154,1302,1017,acetylcholine,PFL1
14677,446,462,4875,3837,glutamate,FB5I
14703,134,258,614,732,glutamate,FB8F_a
14727,267,362,2418,4420,acetylcholine,EPG
14729,185,353,1269,2689,acetylcholine,PFL2
14806,184,116,2333,1152,glutamate,Delta7
14816,196,122,1955,1327,glutamate,Delta7
14830,203,253,4512,3494,acetylcholine,LAL171
14840,262,304,2245,2266,gaba,LAL101
14871,361,393,1955,4323,octopamine,EL
14881,39,159,4298,2286,unclear,GLNO
14963,114,64,1885,1059,gaba,ER5
14975,207,318,1207,2081,acetylcholine,hDeltaC
15084,510,671,2664,2057,acetylcholine,CL251
15129,299,276,1444,1639,glutamate,FB1I
15176,212,151,2130,2224,acetylcholine,PEN_b(PEN2)
15210,132,328,1473,2580,acetylcholine,PFL3
15325,583,659,5741,6286,glutamate,FB4C
15358,432,557,2735,2279,acetylcholine,AVLP730m
15398,149,121,2076,1166,glutamate,Delta7
15399,185,123,2597,1277,glutamate,Delta7
15409,204,122,2655,1361,glutamate,Delta7
15425,417,509,1540,2452,acetylcholine,AVLP714m
15441,289,430,2549,2505,acetylcholine,LAL154
15444,210,198,1938,1518,gaba,ER2_d
15458,115,226,1426,1474,acetylcholine,ExR8
15495,194,121,2404,1251,glutamate,Delta7
15514,513,236,730,1072,serotonin,AN27X013
15605,340,414,1858,1700,acetylcholine,CL326
15616,278,379,2747,5738,acetylcholine,EPG
15620,264,315,1066,784,acetylcholine,SCL001m
15654,202,123,2742,1284,glutamate,Delta7
15674,59,166,4592,2729,glutamate,LNOa
15713,276,357,2426,3869,acetylcholine,EPG
15768,249,270,2391,2631,glutamate,FB3A
15837,192,114,2481,1191,glutamate,Delta7
15839,201,133,2517,1400,glutamate,Delta7
15851,197,125,2316,1185,glutamate,Delta7
15888,777,762,4059,4917,dopamine,FB4M
15900,231,362,1419,1457,acetylcholine,IB020
15904,185,126,2464,1268,glutamate,Delta7
15919,257,277,2264,2881,glutamate,FB3A
15924,501,536,3329,3038,glutamate,FB4G
15929,454,528,1951,2319,glutamate,FB5AA
15967,120,71,834,995,acetylcholine,PFNa
16000,221,416,993,1722,acetylcholine,LAL029_b
16008,75,86,800,975,acetylcholine,PEG
16100,336,305,1813,1430,glutamate,FB6O
16110,215,125,2511,1222,glutamate,Delta7
16111,218,295,841,1399,gaba,SAD075
16158,183,364,1553,3055,acetylcholine,hDeltaH
16180,200,131,2581,1145,glutamate,Delta7
16214,273,292,1415,1781,acetylcholine,PFR_b
16234,175,121,2241,1131,glutamate,Delta7
16292,399,255,4337,1811,glutamate,FB6E
16303,329,244,902,1756,serotonin,PFR_a
16315,376,393,3716,1854,glutamate,FB6F
16343,183,147,2448,2087,gaba,ER4d
16360,293,361,2409,3975,acetylcholine,EPG
16363,256,426,1309,2201,acetylcholine,AVLP115
16412,153,113,2213,1038,glutamate,Delta7
16430,824,619,3263,4006,unclear,FB5H
16440,220,202,4591,2400,gaba,ER4m
16456,362,483,1392,1697,acetylcholine,
16473,497,662,4085,4410,gaba,CRE012
16476,163,121,2207,1122,glutamate,Delta7
16540,190,120,2455,1218,glutamate,Delta7
16541,293,222,1017,610,gaba,ICL008m
16553,182,118,1908,1170,glutamate,Delta7
16580,295,397,983,1324,acetylcholine,SMP715m
16598,114,99,1390,1029,gaba,ER3w_b
16800,75,246,745,1561,serotonin,PFGs
16818,142,135,2479,2098,gaba,ER4d
16869,161,111,2083,1021,glutamate,Delta7
16908,453,300,2191,1259,glutamate,FB4O
16973,374,294,1987,866,glutamate,FB2G_b
17000,147,297,1054,1820,acetylcholine,PFL3
17016,82,205,3090,2423,unclear,LNO1
17024,167,124,1681,1252,glutamate,Delta7
17061,352,456,1063,2316,dopamine,FB4L
17078,107,65,1837,1121,gaba,ER5
17082,320,214,2540,714,acetylcholine,LAL192
